"Collection","Sample","Species","Plant_height","Veg_height","Leaf_width","Leaf_length","Sheath_length","Leaf_roll","Leaf_dry","Internode_dist","Culm_diam","Inflor_length","Spikelet_no","Pedicel_length_epu","Glume_length_outer","Glume_length_inner","Spikelet_width","Spikelet_length","Lemma_outer_length","Lemma_inner_length","Striation_no","Lemma_tip","Hair_tuft"
1572,3,"E_setacea_uniflora",660,655,1.35,72.6,27.57,0,0,60.94,0.53,14.38,3,18,60,59,12,48,19,46,0,2,0
1604,1,"E_setacea_uniflora",460,440,0.68,34.98,17.25,0,0,76.72,0.44,10.86,2,32,52,49,10,46,18,43,0,2,0
1604,3,"E_setacea_uniflora",670,625,1.43,75,30.29,0,0,66.27,0.28,9.16,2,14,46,44,10,44,12,40,0,2,0
1631,1,"E_setacea_scabra",340,260,2.4,56.89,22.04,1,0,14.56,0.69,58.4,14,38,54,54,17,64,31,63,0,2,0
1631,4,"E_setacea_scabra",305,215,1.78,57.67,14.65,1,0,8.01,1.29,43.29,9,23,53,54,19,71,35,69,0,2,0
1636,3,"E_setacea_scabra",540,390,2.46,62.79,20.65,1,0,16.16,1.41,56.45,13,57,51,48,17,70,30,70,0,2,0
1636,4,"E_setacea_scabra",365,280,2.43,62.87,16.55,1,0,19.63,1.17,48.96,8,73,60,59.5,18,76,41,74,0,2,0
1642,1,"E_setacea_scabra",440,270,1.84,56.28,16.13,1,0,12.26,1.34,39.59,11,52,45,44,19,68,32,64.5,0,2,0
1644,2,"E_setacea_scabra",610,390,4.49,63.24,32.68,0,0,24.75,2.03,72.4,13,54,52,51,18,67,40,66,0,2,0
1644,3,"E_setacea_scabra",640,480,3.68,88.52,28.87,1,0,16.43,1.44,61.39,14,25,46,47,18.5,64,33,63.5,0,2,0
1557,4,"E_setacea_setacea",305,290,1.5,35.73,11.85,1,0,14.22,1.03,18.8,4,25,34.5,32.5,18.5,48,16,49,0,2,0
1557,6,"E_setacea_setacea",395,400,1.78,45.15,12.89,1,0,4.58,0.78,20.79,5,32,41,36,22.5,56,18,54,0,2,0
1564,3,"E_setacea_setacea",295,235,2.68,89.92,26.11,1,0,22.1,1.29,38.23,7,50,53,42,19,57,18,57,0,2,0
1564,1,"E_setacea_setacea",230,180,1.88,54.56,27.4,1,0,10.81,1.17,35.13,7,57.5,56,46,17,57,17,59,0,2,0
1568,2,"E_setacea_setacea",445,340,1.67,87.13,18.27,1,0,15.86,1.04,49.71,11,72,57,54,21,60,16,59,0,2,0
1569,5,"E_setacea_setacea",230,160,1.52,51.86,16.45,1,0,11.87,1.08,30.35,7,50,54,47,19,55,17,54.5,0,2,0
1569,2,"E_setacea_setacea",360,245,2.28,74.43,18.4,1,0,9.71,1.18,46.83,8,58,55,49,17,60,17,59,0,2,0
1577,1,"E_setacea_setacea",345,245,1.68,57.1,22.7,1,0,12.97,1.25,38.91,9,31,67,50,17,52,16,52,0,2,0
1577,4,"E_setacea_setacea",450,230,2.52,74.4,18.32,1,0,18.14,1.32,47.83,11,48,58,53,17,58,17.5,57,0,2,0
1587,6,"E_setacea_setacea",730,650,2.1,44.37,16.31,1,0,16.37,1.49,26.77,5,34,39,33.5,15,52,13,50,0,2,0
1587,3,"E_setacea_setacea",570,500,2.18,48.56,19.72,1,0,19.96,1.05,34.3,8,40.5,35,31,18,52,17,51,0,2,0
